A,B,result
Automated theorem proving,Mathematical induction,1
Linear system,Telecommunications network,0
Data analysis,Human-computer interaction,0
Computational science,Natural language processing,0
Message Passing Interface,Knowledge representation and reasoning,0
Polymorphism (computer science),Randomization,0
Probability,Randomized algorithm,0
Rendering (computer graphics),Shading,1
Routing,Modular programming,0
Web search engine,Inter-process communication,0
Database management system,Computer science,1
Context-free grammar,Cluster analysis,0
Halting problem,Turing machine,1
Parallel computing,Kinematics,0
Mathematical model,Thread (computer science),0
Speech recognition,Artificial intelligence,1
Knowledge representation and reasoning,Algorithm,1
Microprocessor,System call,0
Malware,Statistics,0
Telecommunications network,Conditional probability,0
Shading,Matrix (mathematics),0
Computer programming,Logic,1
Calculus of variations,Foundations of mathematics,0
Markov process,Probability theory,1
Undecidable problem,Algorithm,1
Functional programming,Computer programming,1
Random walk,Graph (mathematics),1
Firewall (computing),Vulnerability (computing),1
Processor register,Stack (data structure),1
Computability,Application programming interface,0
User interface,Computer,1
Programming paradigm,Programming language,1
Database,Algorithm design,1
Functional programming,Mobile device,0
Least squares,Arithmetic logic unit,0
Graphics,Context-free language,0
Program optimization,Database system,0
Decision theory,Predicate logic,0
JavaScript,Computer programming,1
Analysis of algorithms,Asymptotic analysis,1
Correlation and dependence,Machine learning,0
Sufficient statistic,Statistical inference,1
Database management system,Cache coherence,0
Spanning tree,Natural language,0
Computational complexity theory,Mathematics,1
Graphical model,Probability theory,1
Monad (functional programming),Entropy,0
Theoretical computer science,Computation,1
Prediction,Virtual reality,0
System programming,Memory management,0
Algorithm,Polynomial,1
Web server,Discrete mathematics,0
Software framework,Computer programming,1
Cryptographic hash function,Information security,1
Query optimization,SQL,1
Automated theorem proving,Predicate logic,1
Computer vision,Computer science,1
Cryptanalysis,Cryptography,1
Tensor,Mutual exclusion,0
Part-of-speech tagging,Software development,0
Object-oriented programming,Object (computer science),1
Computer software,Computer,1
File system,Mobile device,0
Economics,Mathematical optimization,1
Data type,Communications protocol,0
Computer science,Graph theory,1
Operating system,Computer,1
Variable (computer science),Computer programming,1
Query language,Denotational semantics,0
Recursion (computer science),Programming language,1
First-order logic,Recursion,1
Scientific modelling,Number theory,0
Virtual memory,Memory hierarchy,1
Denotational semantics,Programming language,1
Signal processing,Data mining,0
Computer multitasking,Information theory,0
Data warehouse,Data,1
Linear algebra,Mathematics,1
Visualization (computer graphics),Natural language processing,0
Lazy evaluation,Cloud computing,0
Sentiment analysis,Natural language processing,1
Undecidable problem,Computer science,1
Pipeline (computing),Central processing unit,1
Concurrency control,Malware,0
Interaction design,ML (programming language),0
Atomicity (database systems),Cluster analysis,0
Quantum mechanics,Randomness,1
Finite difference,Computability,0
Message Passing Interface,Symmetric multiprocessing,0
Unix,Computer,1
Concurrency (computer science),Computer science,1
Programming paradigm,Computer science,1
Packet switching,Computer network,1
MapReduce,Scope (computer science),0
Scientific visualization,Computer graphics,1
Decision theory,Random variable,1
Programming paradigm,Index (database),0
Pushdown automata,Undecidable problem,0
Microcode,Computer,1
Question answering,Distributed algorithms,0
Firewall (computing),Syntax,0
C (programming language),Programming language,1
Communications protocol,Cloud computing,0
Relational model,Predicate logic,1
Knowledge representation and reasoning,Time complexity,0
Volume rendering,Statistics,0
Computer architecture,Suffix tree,0
Inequality (mathematics),Database normalization,0
System programming,Computer programming,1
Computer science,Computer,1
Concurrency control,Algorithm design,1
Routing,Hash table,0
Knowledge representation and reasoning,Computational learning theory,0
Sentiment analysis,Cryptography,0
Scalability,Software design,1
Object-oriented programming,Design pattern (computer science),1
Formal language,Logic,1
Social network,Graph (mathematics),1
Graph (mathematics),Mathematics,1
Randomization,Wavelet,0
Fourier analysis,Distributed computing,0
Question answering,HTML,0
Software engineering,User interface,0
Graph theory,Mathematics,1
Internet Protocol Suite,Array data structure,0
PSPACE,Pushdown automata,0
Complexity class,Recurrence relation,0
Pattern matching,Natural language,0
Linear system,Malware,0
Quantum computer,Computational complexity theory,1
Dynamic programming,Formal grammar,0
Turing machine,Computation,1
Web browser,Embedded system,0
Finite set,Mathematics,1
NP-complete,Martingale (probability theory),0
Regular expression,Operating system,0
Human-computer interaction,Cryptography,0
Monte Carlo method,Integral,1
Programming language,Computer,1
Computer security,Security,1
Database,Gradient descent,0
Recommender system,Database system,0
Functional programming,Atomicity (database systems),0
Rendering (computer graphics),Computational complexity theory,0
Relational model,Database,1
Compiler,Computer science,1
Gradient descent,Hash table,0
NP (complexity),Central processing unit,0
Machine learning,Mathematical optimization,1
Transaction processing,Database,1
Lexical analysis,Computer science,1
Data,Semantics of programming languages,0
Automated planning and scheduling,String searching algorithm,0
Parsing,Formal methods,0
Recommender system,Context-free language,0
NP (complexity),Computer science,1
Analysis of algorithms,Graph theory,1
Logic programming,Computer programming,1
Visualization (computer graphics),Lazy evaluation,0
Denotational semantics,Dynamic programming,0
Cloud computing,Computer network,1
Stochastic,Probability theory,1
Approximation algorithm,Computer science,1
PageRank,Very long instruction word,0
Software design,Java (programming language),1
Signal processing,Probability,1
GPU,Computer graphics,1
Software engineering,Object-oriented programming,1
Monte Carlo method,Expected value,1
Cryptography,Information security,1
ML (programming language),Functional programming,1
Database design,Relational model,1
P versus NP problem,Divide and conquer algorithm,0
Personal computer,Robotics,0
Knowledge representation and reasoning,Mathematics,1
Machine learning,Computer science,1
Relational database,Database,1
Random walk,String (computer science),0
Lock (computer science),Queue (data structure),0
Internet Protocol Suite,Computer,1
Inequality (mathematics),Mathematics,1
Asymptotic analysis,Semantics,0
Partial differential equation,Mathematics,1
Automata theory,Graph coloring,0
Symbol table,First-order logic,0
Relational model,Data type,1
String (computer science),Computer programming,1
Packet switching,Message Passing Interface,0
Firewall (computing),Computer security,1
Shared memory,Firewall (computing),0
Scope (computer science),Variable (computer science),1
Parallel computing,PSPACE,0
Web server,Relational model,0
Data mining,Computer science,1
Database management system,Database,1
Inference,Hidden Markov model,0
Perl,NP-complete,0
Parallel computing,Computing,1
Graph theory,Computational science,1
Problem solving,Mathematical model,0
Ordinary differential equation,Polynomial,1
Network security,Computer security,1
Sequence alignment,Document classification,0
User interface design,Exponential family,0
Security,Application software,0
Modular arithmetic,Discrete mathematics,1
Numerical analysis,Polynomial,1
Bayesian,Random variable,1
Natural language processing,Semantics,1
Cryptography,Authentication,1
Cryptography,Computational complexity theory,1
Machine learning,Computational science,1
Boundary value problem,Partial differential equation,1
Theory of computation,Computer science,1
Linear algebra,Matrix (mathematics),1
Java (programming language),Distributed computing,0
Ordinary differential equation,Mathematics,1
MATLAB,Encryption,0
Database management system,Database transaction,1
Hidden Markov model,Artificial intelligence,1
Knowledge representation and reasoning,Logic,1
Distributed computing,Computational problem,1
Machine translation,Database management system,0
Array data structure,Mathematics,0
Structured programming,Deadlock,0
Multi-core processor,Central processing unit,1
Web server,Polymorphism (computer science),0
Application programming interface,Information security,0
Parsing,Natural language,1
Monte Carlo method,Computer network,0
Compiler,Programming language,1
Calculus,Arithmetic,1
Relational database,Relational database,1
Parsing,Algorithm,1
Automata theory,C (programming language),0
Computational geometry,Algorithm,1
Message passing,Computer science,1
Atomicity (database systems),Robot,0
Hash table,"Best, worst and average case",1
Lexical semantics,Randomized algorithm,0
Artificial intelligence,Computational science,1
Parametric polymorphism,Variable (computer science),1
Dynamic programming,Parallel algorithm,0
World Wide Web,Shared memory,0
MATLAB,Database design,0
Data mining,Artificial intelligence,1
Computational complexity theory,Computability,1
Big data,Python (programming language),0
Probability,Uncertainty,1
SQL,Context-free grammar,0
Scripting language,Computer programming,1
Relational database,Visualization (computer graphics),0
Semantics,Kalman filter,0
Volume rendering,Computer graphics,1
Lisp (programming language),Logic programming,1
Computer graphics,Computer,1
Quantum computer,Computer science,1
Instruction set,Computer security,0
Hidden Markov model,Monad (functional programming),0
Semantics of programming languages,Nonlinear system,0
String searching algorithm,Image processing,0
P versus NP problem,Computer science,1
Image processing,Approximation algorithm,0
First-order logic,C (programming language),0
Computer software,Operating system,1
Data mining,Algorithm,1
Mobile device,Decision theory,0
World Wide Web,User interface design,0
Symmetric multiprocessing,Concurrency (computer science),1
Lazy evaluation,Transaction processing,0
Correlation and dependence,Quantum mechanics,0
Finite-state machine,Estimation theory,0
Scripting language,Programming language,1
Arithmetic,Modular programming,0
Random walk,Markov chain,1
Artificial intelligence,Random variable,0
High-level programming language,Reinforcement learning,0
Communications protocol,Graphical user interface,0
Index (database),Part-of-speech tagging,0
Relational database,Relational algebra,1
Superscalar,Data type,0
Robotics,Computer science,1
Numerical analysis,Approximation,1
Computer vision,Document classification,0
B-tree,Data structure,1
Database design,Data structure,1
Cryptanalysis,Server (computing),0
Type system,Programming language,1
Peer-to-peer,Firewall (computing),0
PageRank,Information assurance,0
Image processing,Computer programming,1
Time complexity,Computer science,1
Programming paradigm,Data structure,1
Variable (computer science),Cryptography,0
Database management system,Parallel algorithm,0
Unix,Operating system,1
Interaction design,Context-free grammar,0
Functional programming,Interaction design,0
Randomness,Mathematics,1
C++,Graphical user interface,0
Genetic algorithm,Algorithm,1
Undecidable problem,Run time (program lifecycle phase),0
Computational science,Wireless sensor network,0
Mathematics,Robotics,0
Input/output,Multi-core processor,0
Syntax,Exponential family,0
Iterative method,Information assurance,0
Suffix tree,3D computer graphics,0
Object-oriented programming,Symmetric multiprocessing,0
Finite element method,Numerical analysis,1
Vector processor,Parametric polymorphism,0
Recursively enumerable set,Algorithm,1
Lisp (programming language),Computer science,1
List of undecidable problems,Finite difference,0
Neural network,Artificial intelligence,1
Autonomous robot,User interface,0
Social network,Graph theory,1
Imperative programming,Control flow,1
Linear programming,Matrix (mathematics),1
Linked list,Nonlinear system,0
Multi-core processor,Document classification,0
Least squares,Numerical analysis,1
Neural network,Processor register,0
Syntax,Stochastic process,0
Propositional calculus,Inequality (mathematics),0
Algorithm design,Mathematics,1
Application software,Multi-core processor,0
JavaScript,Introduction to Algorithms,0
C (programming language),Model of computation,0
Computer science,Mathematics,1
Entropy,Analysis of algorithms,0
Data analysis,Statistical inference,0
Knowledge representation and reasoning,Computer science,1
Database,Object (computer science),1
Partial differential equation,Differential equation,1
Information security,Natural language processing,0
Finite difference,Boundary value problem,1
Formal language,Concurrency control,0
Computational science,Divide and conquer algorithm,0
Performance tuning,Multiplication,0
Machine learning,Computer,1
Personal computer,String (computer science),0
Cloud computing,Recursion (computer science),0
Symbol table,Personal computer,0
Computer architecture,Computer science,1
Distributed computing,String (computer science),0
Finite difference,Numerical analysis,1
Monte Carlo method,Application software,0
Tensor,Mathematics,1
Unix,Control flow,0
Numerical analysis,Algorithm,1
Stochastic process,Database design,0
Ray tracing (graphics),Information theory,0
Atomicity (database systems),Database,1
Natural language processing,Unsupervised learning,1
Sequence alignment,Computational science,0
Artificial intelligence,Data structure,1
Inference,Parallel computing,0
HTML,Application programming interface,0
P versus NP problem,Inheritance (object-oriented programming),0
Computer network,Data (computing),1
Programming language,Automata theory,1
Computer graphics,Geometry,1
Computational complexity theory,Multiplication,0
Design of experiments,Amortized analysis,0
Server (computing),Computer,1
Differential equation,SQL,0
Pushdown automata,Finite-state machine,1
Firewall (computing),Information assurance,1
System call,Index (database),0
Randomness,Coding theory,0
Scripting language,Computer,1
Algebra,Motion capture,0
Recursion,Linked list,0
Profiling (computer programming),Algorithm,1
Programmer,Programming language,1
Higher-order function,3D computer graphics,0
Software framework,Control flow,1
Data (computing),Deadlock,0
Haskell (programming language),Functional programming,1
Java (programming language),Integral,0
Linked list,Computer science,1
Design pattern (computer science),Formal language,0
Vector processor,Quantum computer,0
Pushdown automata,Computer science,1
Recursion,Algorithm,1
Dynamic programming,Mathematics,1
Stochastic,Problem solving,0
High-level programming language,Computer,1
Random walk,Probability theory,1
Multiplication,Graph (mathematics),0
Robotics,Mechanical engineering,1
Virtual memory,Operating system,1
Visualization (computer graphics),Geometry,1
Random variable,Least squares,0
Artificial intelligence,Programming language,1
Mathematical optimization,Integer,1
User interface design,Computing,0
Geometric modeling,Computational geometry,1
Internet Protocol Suite,Functional programming,0
Markov process,Conditional probability,1
Imperative programming,Programming language,1
Prolog,Wireless sensor network,0
Graph (mathematics),Stochastic process,0
Neural network,Web browser,0
Geometry,Fixed point (mathematics),0
Document classification,File system,0
Computational complexity theory,Robot,0
Type system,Procedural programming,0
NP-complete,Mobile device,0
Inference,Logic programming,0
Rendering (computer graphics),Computer,1
Machine learning,High-level programming language,0
Programmer,Computer programming,1
Recommender system,Uncertainty,0
Pattern recognition,Probability,1
Array data structure,Data structure,1
Parsing,Algorithm design,1
Object-oriented programming,Data,1
Inference,Probability,1
ML (programming language),Very long instruction word,0
Context-free grammar,Computer science,1
Neural network,Kinematics,0
Server (computing),Sparse matrix,0
Distributed algorithms,Rendering (computer graphics),0
Mathematical induction,Web service,0
Introduction to Algorithms,GPU,0
Multi-core processor,Mathematical optimization,0
Bayesian network,Hash table,0
Relational algebra,Random variable,0
Transaction processing,Computer programming,1
Combinational logic,Compiler optimization,0
Graphical user interface,Sufficient statistic,0
Probability,NP-complete,0
Approximation,Database transaction,0
Index (database),Recursion,0
Random walk,Input/output,0
User interface design,Bayesian network,0
Kalman filter,Boundary value problem,0
Algorithm design,Algorithm,1
Amortized analysis,Boundary value problem,0
Haskell (programming language),Newton's method,0
Feature extraction,Lisp (programming language),0
Generic programming,Computer vision,0
Computational geometry,Computer,1
Random walk,Expected value,1
HTML,Symmetric multiprocessing,0
Floating point,Performance tuning,0
P versus NP problem,Integer,1
Semidefinite programming,Formal methods,0
Scope (computer science),Theoretical computer science,0
Graph (mathematics),Parametric polymorphism,0
Markov chain,Expected value,1
Recurrence relation,Algorithm,1
Parallel computing,Computer programming,1
Design of experiments,Computational learning theory,0
First-order logic,Combinatorics,0
Semantics of programming languages,Denotational semantics,0
Pattern recognition,Memory hierarchy,0
Software development,Packet switching,0
Semantics of programming languages,Telecommunications network,0
Iterative method,Linear programming,0
Number theory,Design of experiments,0
Document classification,Computer software,0
Number theory,Modular programming,0
Random variable,Integer,0
Gradient descent,String (computer science),0
Database management system,HTML,0
Robotics,High-level programming language,0
Formal grammar,Approximation algorithm,0
Queue (data structure),Array data structure,1
Autonomous robot,Motion planning,1
Atomicity (database systems),Kinematics,0
Assembly language,File system,0
Database,Operating system,1
Computer,Arithmetic,1
PageRank,Expected value,1
Logic programming,Garbage collection (computer science),0
Database transaction,Undecidable problem,0
Computer,Data warehouse,0
Finite difference,Reinforcement learning,0
Computer programming,Computational science,1
Database system,Genetic algorithm,0
Algorithm,Computing,1
3D computer graphics,Robotics,0
Social network,Server (computing),0
User interface,Computer programming,1
Motion planning,Program optimization,0
Scientific visualization,Knowledge representation and reasoning,0
Machine learning,Graph theory,1
Support vector machine,Robot,0
Functional programming,Computer science,1
Graphics,Modular programming,0
3D computer graphics,Algorithm,1
User interface design,Unix,0
hypothesis testing,Data,1
SQL,Database,1
Halting problem,Transaction processing,0
Transaction processing,Cloud computing,0
Vulnerability (computing),Formal methods,0
Kalman filter,Expected value,1
Prediction,Hash table,0
NP-complete,Numerical analysis,0
Parsing,Formal grammar,1
Computer animation,Computational geometry,1
Program analysis,Computer science,1
Computational geometry,Computational science,1
Large deviations theory,Probability theory,1
Natural language processing,Machine learning,1
Computer programming,Operating system,0
Robotics,Calculus,0
C (programming language),PSPACE,0
Database management system,Communication,0
Automated planning and scheduling,Artificial intelligence,1
Robotics,Database system,0
Assembly language,Computer science,1
Database,Embedded system,0
Machine learning,Algorithm design,1
Artificial intelligence,Modular arithmetic,0
Mathematical model,Mathematics,1
Relational model,Data,1
Mobile device,Computer,1
Design of experiments,hypothesis testing,1
List of undecidable problems,Polynomial,0
Image analysis,Statistics,0
Parsing,Regular language,1
Operating system,Input/output,1
Complexity,High-level programming language,0
Data warehouse,Memory hierarchy,0
Concurrency (computer science),Parallel computing,1
Hash table,Data (computing),1
Sparse matrix,Matrix (mathematics),1
Parsing,Computer programming,1
Predicate logic,Data,0
Polymorphism (computer science),Abstract data type,1
Markov chain,Wavelet,0
Amortized analysis,Data structure,1
Randomized algorithm,Queue (data structure),0
MapReduce,Entropy,0
Computability,Computer science,1
Cryptography,Computer security,1
System programming,Computer,1
Matrix (mathematics),Thread (computer science),0
Neural network,Pattern recognition,1
Computer security,Mathematics,1
Computer network,Software testing,0
Web search engine,Vulnerability (computing),0
Software development,Spanning tree,0
Quantum mechanics,Security,0
Graphical model,Scientific modelling,1
Expected value,Deadlock,0
Web browser,Object (computer science),0
Software engineering,Debugging,1
Database normalization,Formal methods,0
Authentication,Discrete mathematics,0
Undecidable problem,Mathematical proof,1
Random graph,Poisson distribution,0
Cluster analysis,Computer science,1
Entropy,Recommender system,0
Wireless sensor network,Entropy,0
Computer animation,Ray tracing (graphics),1
Query language,Computer programming,1
Distributed computing,Computer programming,1
Dynamic programming,Computer science,1
Parallel computing,Lock (computer science),1
hypothesis testing,Statistical inference,1
World Wide Web,Data,0
Numerical analysis,Eigenvalues and eigenvectors,1
Gradient descent,Mathematical optimization,1
Signal processing,Semantics,0
Concurrency control,Computer science,1
Combinational logic,Lazy evaluation,0
Computer graphics,Data,1
Automated planning and scheduling,Virtual reality,0
Turing machine,Human-computer interaction,0
Wavelet,Arithmetic,0
Cluster analysis,Theoretical computer science,0
Higher-order function,Database management system,0
Concurrency control,Database management system,1
"Best, worst and average case",Debugging,0
Divide and conquer algorithm,Algorithm design,1
PageRank,Computer software,0
Embedded system,Microprocessor,1
Analysis of algorithms,Combinatorics,1
Index (database),Computer programming,1
Hash table,Data structure,1
Logic programming,Wavelet,0
Model checking,Computer science,1
Program optimization,Algorithm,1
Finite-state machine,Theory of computation,1
Profiling (computer programming),Public-key cryptography,0
Correlation and dependence,Combinatorics,0
Model checking,Atomicity (database systems),0
Economics,Interpolation,0
Turing machine,Finite-state machine,1
Quantum computer,Image,0
Operating system,Complexity,0
Economics,Kalman filter,0
Software testing,Python (programming language),0
Microcode,Hidden line removal,0
Coding theory,Processor register,0
Sentiment analysis,Design pattern (computer science),0
Software engineering,Theory of computation,1
Partial differential equation,Numerical analysis,1
Statistical inference,Probability,1
Internet,OSI model,1
Randomness,Software design,0
Computability,Continuous function,0
Halting problem,Expert system,0
Context-free grammar,Inheritance (object-oriented programming),0
Cryptanalysis,Modular arithmetic,1
Linear programming,Cryptographic hash function,0
Theoretical computer science,Computer science,1
Assembly language,Computer,1
String searching algorithm,Volume rendering,0
Imperative programming,Computer science,1
Ordinary differential equation,Nonlinear system,1
Calculus of variations,Integral,1
Pattern recognition,Computer science,1
Monte Carlo method,Statistical inference,1
Object-oriented programming,Variable (computer science),1
Poisson distribution,Game theory,0
Query optimization,Database,1
System programming,Unix,1
Computational complexity theory,Discrete mathematics,1
Robotics,Robot,1
Uncertainty,Approximation algorithm,0
Linked list,Predicate logic,0
Parallel computing,Lexical semantics,0
Encryption,Digital signature,0
File system,Computing,1
Mechanical engineering,Model checking,0
Document classification,Fixed point (mathematics),0
Continuous function,Theoretical computer science,0
Estimation theory,Expected value,1
Propositional calculus,Queue (data structure),0
Artificial intelligence,Algorithm,1
Imperative programming,Variable (computer science),1
Artificial intelligence,Computer,1
Pattern matching,Mathematical proof,0
Regular language,Finite-state machine,1
Information assurance,Information security,1
Document classification,Automated theorem proving,0
Semidefinite programming,Programming paradigm,0
Inheritance (object-oriented programming),Object-oriented programming,1
Memory hierarchy,Modular programming,0
Functional programming,Variable (computer science),1
PSPACE,Symmetric multiprocessing,0
Martingale (probability theory),Markov chain,1
Polynomial,Mathematics,1
3D modeling,Algorithm,1
String searching algorithm,Computer science,1
Semantics of programming languages,Inequality (mathematics),0
Natural language processing,Artificial intelligence,1
Digital electronics,Complexity,0
Algorithm,Abstraction (computer science),1
Decision theory,Algorithm,1
Unix,Graph (mathematics),0
Correlation and dependence,Random variable,1
C (programming language),Arithmetic,1
Web search engine,Scheduling (computing),0
Probability theory,PageRank,0
Flow network,Introduction to Algorithms,1
Imperative programming,Computer,1
Graphical user interface,Information theory,0
Asymptotic analysis,Prolog,0
Index (database),Computer science,1
Computer architecture,Image processing,0
Computational geometry,Computer graphics,1
Wireless sensor network,Queue (data structure),0
Abstract data type,User interface design,0
CPU cache,Central processing unit,1
Parallel algorithm,Randomization,0
Database system,Database,1
Random graph,Machine learning,0
Concurrency control,Analysis of algorithms,1
Data analysis,Problem solving,1
C++,Pattern matching,0
Inheritance (object-oriented programming),PageRank,0
Telecommunications network,Polymorphism (computer science),0
Recursively enumerable set,World Wide Web,0
Integral,Wireless sensor network,0
Computer graphics,Cloud computing,0
Algorithm,Mathematical induction,1
Recommender system,Shared memory,0
Computer multitasking,Mathematical model,0
